English_JHopkins, Russian_Yandex
Adygea Republic, Адыгея
Altai Krai, Алтайский край
Altai Republic, Алтай
Amur Oblast, Амурская обл.
Arkhangelsk Oblast, Архангельская обл.
Astrakhan Oblast, Астраханская обл.
Bashkortostan Republic, Башкортостан
Belgorod Oblast, Белгородская обл.
Bryansk Oblast, Брянская обл.
Buryatia Republic, Бурятия
Chechen Republic, Чечня
Chelyabinsk Oblast, Челябинская обл.
Chukotka Autonomous Okrug, Чукотский АО
Chuvashia Republic, Чувашия
Dagestan Republic, Дагестан
Ingushetia Republic, Ингушетия
Irkutsk Oblast, Иркутская обл.
Ivanovo Oblast, Ивановская обл.
Jewish Autonomous Okrug, Еврейская АО
Kabardino-Balkarian Republic, Кабардино-Балкария
Kaliningrad Oblast, Калининградская обл.
Kalmykia Republic, Калмыкия
Kaluga Oblast, Калужская обл.
Kamchatka Krai, Камчатский край
Karachay-Cherkess Republic, Карачаево-Черкессия
Karelia Republic, Карелия
Kemerovo Oblast, Кемеровская обл.
Khabarovsk Krai, Хабаровский край
Khakassia Republic, Хакасия
Khanty-Mansi Autonomous Okrug, ХМАО – Югра
Kirov Oblast, Кировская обл.
Komi Republic, Коми
Kostroma Oblast, Костромская обл.
Krasnodar Krai, Краснодарский край
Krasnoyarsk Krai, Красноярский край
Kurgan Oblast, Курганская обл.
Kursk Oblast, Курская обл.
Leningrad Oblast, Ленинградская обл.
Lipetsk Oblast, Липецкая обл.
Magadan Oblast, Магаданская обл.
Mari El Republic, Марий Эл
Mordovia Republic, Мордовия
Moscow, Москва
Moscow Oblast, Московская обл.
Murmansk Oblast, Мурманская обл.
Nenets Autonomous Okrug, Ненецкий АО
Nizhny Novgorod Oblast, Нижегородская обл.
North Ossetia - Alania Republic, Северная Осетия
Novgorod Oblast, Новгородская обл.
Novosibirsk Oblast, Новосибирская обл.
Omsk Oblast, Омская обл.
Orel Oblast, Орловская обл.
Orenburg Oblast, Оренбургская обл.
Penza Oblast, Пензенская обл.
Perm Krai, Пермский край
Primorsky Krai, Приморский край
Pskov Oblast, Псковская обл.
Rostov Oblast, Ростовская обл.
Ryazan Oblast, Рязанская обл.
Saint Petersburg, Санкт-Петербург
Sakha (Yakutiya) Republic, Саха (Якутия)
Sakhalin Oblast, Сахалинская обл.
Samara Oblast, Самарская обл.
Saratov Oblast, Саратовская обл.
Smolensk Oblast, Смоленская обл.
Stavropol Krai, Ставропольский край
Sverdlovsk Oblast, Свердловская обл.
Tambov Oblast, Тамбовская обл.
Tatarstan Republic, Татарстан
Tomsk Oblast, Томская обл.
Tula Oblast, Тульская обл.
Tver Oblast, Тверская обл.
Tyumen Oblast, Тюменская обл.
Tyva Republic, Тыва
Udmurt Republic, Удмуртия
Ulyanovsk Oblast, Ульяновская обл.
Vladimir Oblast, Владимирская обл.
Volgograd Oblast, Волгоградская обл.
Vologda Oblast, Вологодская обл.
Voronezh Oblast, Воронежская обл.
Yamalo-Nenets Autonomous Okrug, Ямало-Ненецкий АО
Yaroslavl Oblast, Ярославская обл.
Zabaykalsky Krai, Забайкальский край